"","post_id","post_type","xyz"
"149","720575940636117055","DN","(131172, 82474, 5798)"
"150","720575940657660801",NA,NA
"151","720575940622850125",NA,NA
"152","720575940625453152",NA,NA
"153","720575940624252700","OA-VPM3","(114092.86, 35233.0775, 1116)"
"154","720575940609727345",NA,NA
"155","720575940618980262","M_spPN5t10","(125306.5, 58029.5, 3251)"
"156","720575940603971761","SMP108","(123560.075, 49066.3825, 1620)"
"157","720575940630065768","OA-VUMa2","(132230.5, 72240.75, 4239)"
"158","720575940627768108","SLP439","(109019.595, 25933.4725, 3217)"
"159","720575940617439537","WEDPN2B","(102148.5075, 61254.0575, 4313)"
"160","720575940628552911",NA,NA
"161","720575940637248829",NA,NA
"162","720575940624711513",NA,NA
"163","720575940624031294",NA,NA
"164","720575940615531705",NA,NA
"165","720575940637214286","VL2p_adPN","(116191.9, 65848.64, 1687)"
"166","720575940618619814","DM2_lPN","(123018.6175, 58774.78, 1654)"
"167","720575940627971072",NA,NA
"168","720575940637281725","OA-VUMa2","(131824.4375, 71616.805, 3521)"
"169","720575940621910711",NA,NA
"170","720575940610270706",NA,NA
"171","720575940646521465",NA,NA
"172","720575940627705600",NA,NA
"173","720575940612299774",NA,NA
"174","720575940627274343",NA,NA
"175","720575940624463961",NA,NA
"176","720575940633479928",NA,NA
"177","720575940619728901","CL112","(117690.75, 69839.25, 2473)"
"178","720575940614136507","LAL171","(133100.5, 57275, 3550)"
"179","720575940620226217",NA,NA
"180","720575940622762424",NA,NA
"181","720575940618373467",NA,NA
"182","720575940631819801",NA,NA
"183","720575940621749687",NA,NA
"184","720575940636001001",NA,NA
"185","720575940615600870",NA,NA
"186","720575940614246173",NA,NA
"187","720575940628254428","MBON31","(112937.57, 38177.605, 1047)"
"188","720575940618329071",NA,NA
"189","720575940606997443",NA,NA
"190","720575940625609476",NA,NA
"191","720575940635743551",NA,NA
"192","720575940643976995",NA,NA
"193","720575940614817117","SMP446","(122354.57, 33232.4525, 2586)"
"194","720575940630300108",NA,NA
"195","720575940621904904","FB5AB","(114942.275, 34055.7025, 3104)"
"196","720575940624531770","VA2_adPN","(120472.8125, 62434.29, 971)"
"197","720575940625643919",NA,NA
"198","720575940620197801","PPL103","(125058.525, 34855.84, 2229)"
"199","720575940623611952","WEDPN3","(100787.75, 58990.73, 4436)"
"200","720575940629793863",NA,NA
"201","720575940621986795",NA,NA
"202","720575940633605556",NA,NA
"203","720575940626206538",NA,NA
"204","720575940634249079",NA,NA
"205","720575940640179085",NA,NA
"206","720575940645417860",NA,NA
"207","720575940618227439",NA,NA
"208","720575940617081304",NA,NA
"209","720575940627525164",NA,NA
"210","720575940610199705",NA,NA
"211","720575940610226418",NA,NA
"212","720575940627971799",NA,NA
"213","720575940638068725",NA,NA
"214","720575940644306467",NA,NA
"215","720575940628820729",NA,NA
"216","720575940627204014","SLP440","(103290.53, 27100.1925, 3520)"
"217","720575940634546318",NA,NA
"218","720575940616472118",NA,NA
"219","720575940625870824","PPL202","(105605.96, 45251.4025, 4828)"
"220","720575940611493329",NA,NA
"221","720575940620539869",NA,NA
"222","720575940618974317",NA,NA
"223","720575940621215743",NA,NA
"224","720575940635533278",NA,NA
"225","720575940637740376",NA,NA
"226","720575940626570768","VA6_adPN","(115491.2575, 59892.3875, 1175)"
"227","720575940633158136",NA,NA
"228","720575940630033735","CL129","(101211.25, 32141.25, 3239)"
"229","720575940630045288",NA,NA
"230","720575940621627575",NA,NA
"231","720575940609893555",NA,NA
"232","720575940629358403",NA,NA
"233","720575940619938593",NA,NA
"234","720575940614151099",NA,NA
"235","720575940627616382",NA,NA
"236","720575940604861641",NA,NA
"237","720575940616417403",NA,NA
"238","720575940625817348","SMP215","(104390.5625, 27771.1, 3908)"
"239","720575940626913127",NA,NA
"240","720575940628549750","VA4_lPN","(115986.1325, 61937.495, 1457)"
"241","720575940635715044",NA,NA
"242","720575940626099630","SMP058","(121384.3, 28211.35, 1663)"
"243","720575940603829094","AVLP571","(108887.5, 48733.5, 3201)"
"244","720575940622715116",NA,NA
"245","720575940621484213",NA,NA
"246","720575940616624182",NA,NA
"247","720575940628000567","M_imPNl92","(130887.5, 85562.25, 3377)"
"248","720575940633259627",NA,NA
"249","720575940633110264",NA,NA
"250","720575940627122046",NA,NA
"251","720575940608687662","M_spPN5t10","(138529.25, 57316.3175, 3012)"
"252","720575940614119029",NA,NA
"253","720575940629237775","VA3_adPN","(118122.25, 60278.735, 1334)"
"254","720575940631693537",NA,NA
"255","720575940632205759","CL268","(103782.1175, 47384.7375, 3559)"
"256","720575940640213889",NA,NA
"257","720575940613788210",NA,NA
"258","720575940637419325",NA,NA
"259","720575940628905035",NA,NA
"260","720575940632513632",NA,NA
"261","720575940610791651","CL359","(107758.64, 45338.3275, 3988)"
"262","720575940634612654",NA,NA
"263","720575940613630476",NA,NA
"264","720575940621487754",NA,NA
"265","720575940626281290",NA,NA
"266","720575940625937393",NA,NA
"267","720575940625257810",NA,NA
"268","720575940653674369",NA,NA
"269","720575940624441177","M_l2PNm14","(117043.1325, 33405.14, 4180)"
"270","720575940629733216",NA,NA
"271","720575940614377920",NA,NA
"272","720575940612175271",NA,NA
"273","720575940620572109",NA,NA
"274","720575940610613618",NA,NA
"275","720575940609218766",NA,NA
"276","720575940631434209","WEDPN3","(99797.64, 57933.6875, 4444)"
"277","720575940630792877",NA,NA
"278","720575940621047832",NA,NA
"279","720575940617210516",NA,NA
"280","720575940625151802",NA,NA
"281","720575940608106542",NA,NA
"282","720575940622118837",NA,NA
"283","720575940614933533",NA,NA
"284","720575940624724101",NA,NA
"285","720575940611235053","VC1_lPN","(95635.78, 33065.5425, 4570)"
"286","720575940615293396","DSKMP3","(104504.1175, 32830.3675, 2715)"
"287","720575940626145966",NA,NA
"288","720575940633581304",NA,NA
"289","720575940615922836",NA,NA
"290","720575940639962497",NA,NA
"291","720575940634228325",NA,NA
"292","720575940630223943",NA,NA
"293","720575940632690330","WEDPN3","(100889.5, 59186.25, 4448)"
"294","720575940602901420","MBON15","(111115.96, 27589.2285, 2795)"
"295","720575940618703782",NA,NA
"296","720575940630869293",NA,NA
"297","720575940639204597",NA,NA
"298","720575940636006234",NA,NA
"299","720575940635692766",NA,NA
"300","720575940614308725",NA,NA
"301","720575940627301242","VA3_adPN","(118457.175, 60349.825, 1324)"
"302","720575940614976541",NA,NA
"303","720575940618519643",NA,NA
"304","720575940609836401","SMP603","(111591.05, 33167.9025, 1547)"
"305","720575940626926595",NA,NA
"306","720575940647636089",NA,NA
"307","720575940638140661",NA,NA
"308","720575940634543472",NA,NA
"309","720575940643556481","SLP396","(108756.5075, 27326.32625, 3702)"
"310","720575940614986269",NA,NA
"311","720575940621519507",NA,NA
"312","720575940627390334",NA,NA
"313","720575940636517190","SLP171","(99966.25, 30970, 3616)"
"314","720575940619980382",NA,NA
"315","720575940624512514","WEDPN2A","(100799.43, 61735.0075, 4274)"
"316","720575940621571818","SMP076","(117573.4925, 25160.4625, 3450)"
"317","720575940611964847",NA,NA
"318","720575940615789061",NA,NA
"319","720575940632730463",NA,NA
"320","720575940618048645","VC3l_adPN","(121262.11, 58791.6375, 1488)"
"321","720575940625319854",NA,NA
"322","720575940616932510",NA,NA
"323","720575940621400361",NA,NA
"324","720575940602424032",NA,NA
"325","720575940609901425",NA,NA
"326","720575940613277888",NA,NA
"327","720575940610275314",NA,NA
"328","720575940617428427",NA,NA
"329","720575940622198792",NA,NA
"330","720575940621868471",NA,NA
"331","720575940626078736",NA,NA
"332","720575940622994253","CRE018","(112549.335, 38652.605, 2354)"
"333","720575940614995590",NA,NA
"334","720575940623064078",NA,NA
"335","720575940619511990",NA,NA
"336","720575940609911409","VM3_adPN","(107448.445, 32614.2775, 4685)"
"337","720575940633635829",NA,NA
"338","720575940629150327",NA,NA
"339","720575940634813552",NA,NA
"340","720575940621485706",NA,NA
"341","720575940629559850","LAL128","(104636, 61249, 2471)"
"342","720575940628962623",NA,NA
"343","720575940616202048","CRE072","(115245.86, 29621.7775, 2772)"
"344","720575940610426085",NA,NA
"345","720575940629963624",NA,NA
"346","720575940621043992",NA,NA
"347","720575940625617234",NA,NA
"348","720575940624076730",NA,NA
"349","720575940623857445",NA,NA
"350","720575940619872261",NA,NA
"351","720575940609953522",NA,NA
"352","720575940608137501","SLP215","(108409.25, 34898.25, 2854)"
"353","720575940610267122",NA,NA
"354","720575940621500413",NA,NA
"355","720575940613901362","VC5_adPN","(100376.11, 32539.92, 4572)"
"356","720575940628247265",NA,NA
"357","720575940641685152","SLP421","(107607.9, 26390.31, 3287)"
"358","720575940618621606",NA,NA
"359","720575940632602303",NA,NA
"360","720575940632659607",NA,NA
"361","720575940645321348","DC1_adPN","(117804.305, 58463.505, 1457)"
"362","720575940630845869",NA,NA
"363","720575940610562930",NA,NA
"364","720575940612099281","CRE102","(111673.2, 31879.71, 3105)"
"365","720575940629491242",NA,NA
"366","720575940620811912",NA,NA
"367","720575940619266032",NA,NA
"368","720575940626125511",NA,NA
"369","720575940628324316",NA,NA
"370","720575940619439476",NA,NA
"371","720575940642714916","ALIN1","(129337.525, 40264.87, 3862)"
"372","720575940624292892",NA,NA
"373","720575940628864087",NA,NA
"374","720575940626610025",NA,NA
"375","720575940611268579","LAL146","(118254.415, 55337.785, 4573)"
"376","720575940628778703","AVLP015","(101575.735, 43804.8625, 2929)"
"377","720575940613629234",NA,NA
"378","720575940636806965",NA,NA
"379","720575940630133600",NA,NA
"380","720575940619043437",NA,NA
"381","720575940621077759",NA,NA
"382","720575940632575204",NA,NA
"383","720575940628466652",NA,NA
"384","720575940621344767",NA,NA
"385","720575940643267950","M_vPNml50","(118190.445, 60474.0475, 1683)"
"386","720575940629176261","CRE001","(108999.445, 35237.53, 2722)"
"387","720575940628380380",NA,NA
"388","720575940626296592",NA,NA
"389","720575940641403009",NA,NA
"390","720575940615275293",NA,NA
"391","720575940618814960","SLP314","(98851.75, 32736.7675, 4286)"
"392","720575940630799093",NA,NA
"393","720575940626260752","SAD006","(119807.225, 39649.715, 2295)"
"394","720575940621390218","ATL004","(124661.5625, 36049.515, 4086)"
"395","720575940617614795",NA,NA
"396","720575940628914007",NA,NA
"397","720575940614956829",NA,NA
"398","720575940627894071","SLP279","(122053, 25859.834, 1837)"
"399","720575940625130121",NA,NA
"400","720575940616620608",NA,NA
"401","720575940627808122",NA,NA
"402","720575940638116597",NA,NA
"403","720575940625294138",NA,NA
"404","720575940603918782",NA,NA
"405","720575940627768770",NA,NA
"406","720575940617942804",NA,NA
"407","720575940615145787",NA,NA
"408","720575940642704407",NA,NA
"409","720575940618289601",NA,NA
"410","720575940630826925",NA,NA
"411","720575940625236538",NA,NA
"412","720575940612682898",NA,NA
"413","720575940621984747",NA,NA
"414","720575940619176432",NA,NA
"415","720575940616305216","SMP031","(105717.05, 35183.0275, 2899)"
"416","720575940615686996",NA,NA
"417","720575940624297624",NA,NA
"418","720575940631218899","VC3l_adPN","(121776.78, 59531.1125, 1514)"
"419","720575940631770852",NA,NA
"420","720575940644244515",NA,NA
