"","post_id","post_type","xyz"
"158","720575940621485706",NA,NA
"159","720575940602443744","SMP059","(117460.7425, 30030.76375, 1974)"
"160","720575940624835209",NA,NA
"161","720575940612146129",NA,NA
"162","720575940616135707",NA,NA
"163","720575940610143667","DNp09","(127781, 82727, 5799)"
"164","720575940615378644",NA,NA
"165","720575940628537295",NA,NA
"166","720575940625937393",NA,NA
"167","720575940625230213",NA,NA
"168","720575940644494115",NA,NA
"169","720575940629976095",NA,NA
"170","720575940616365691",NA,NA
"171","720575940635861476",NA,NA
"172","720575940624724101",NA,NA
"173","720575940640265357","FB6S","(116757.45, 32775.2525, 2913)"
"174","720575940626155182",NA,NA
"175","720575940612757098",NA,NA
"176","720575940625049630",NA,NA
"177","720575940628659449",NA,NA
"178","720575940637680189",NA,NA
"179","720575940624155676","SIP044","(103285.555, 33253.1675, 3783)"
"180","720575940609331662",NA,NA
"181","720575940612615678",NA,NA
"182","720575940618130625",NA,NA
"183","720575940622151915",NA,NA
"184","720575940631661337",NA,NA
"185","720575940616722134",NA,NA
"186","720575940613630476",NA,NA
"187","720575940622269513",NA,NA
"188","720575940621215743",NA,NA
"189","720575940621031693",NA,NA
"190","720575940625600529",NA,NA
"191","720575940611896785","SIP039","(103802.64, 33688.715, 3824)"
"192","720575940618999905",NA,NA
"193","720575940613955003",NA,NA
"194","720575940615349137",NA,NA
"195","720575940610695190",NA,NA
"196","720575940612033967",NA,NA
"197","720575940629556010",NA,NA
"198","720575940613688507",NA,NA
"199","720575940614886283",NA,NA
"200","720575940620004649",NA,NA
"201","720575940612197374",NA,NA
"202","720575940622421223",NA,NA
"203","720575940618545157",NA,NA
"204","720575940619660927",NA,NA
"205","720575940621758205",NA,NA
"206","720575940641937056","5-HTPMPD01","(115487.93, 33270.235, 3216)"
"207","720575940614931741",NA,NA
"208","720575940614971933",NA,NA
"209","720575940627165543","SLP131","(93149.9375, 41142.6925, 3570)"
"210","720575940630421279",NA,NA
"211","720575940616136219",NA,NA
"212","720575940621958408",NA,NA
"213","720575940626594734",NA,NA
"214","720575940636182079",NA,NA
"215","720575940632837537",NA,NA
"216","720575940630995629",NA,NA
"217","720575940621193608",NA,NA
"218","720575940634374286",NA,NA
"219","720575940628337004",NA,NA
"220","720575940625614418",NA,NA
"221","720575940626001404",NA,NA
"222","720575940612022768",NA,NA
"223","720575940630021191",NA,NA
"224","720575940634946416",NA,NA
"225","720575940622005483",NA,NA
"226","720575940621921543",NA,NA
"227","720575940644804404",NA,NA
"228","720575940615430848",NA,NA
"229","720575940621503485",NA,NA
"230","720575940637095221",NA,NA
"231","720575940641473665",NA,NA
"232","720575940635977050",NA,NA
"233","720575940615484765","SIP032","(117213.325, 27746.1725, 2060)"
"234","720575940628847968",NA,NA
"235","720575940621692599",NA,NA
"236","720575940628914117","LAL030_a","(113565.0625, 38048.7, 2488)"
"237","720575940628658681",NA,NA
"238","720575940612492690",NA,NA
"239","720575940625051013",NA,NA
"240","720575940647822457",NA,NA
"241","720575940614961437",NA,NA
"242","720575940619981662",NA,NA
"243","720575940628605647",NA,NA
"244","720575940621367530",NA,NA
"245","720575940632690330","WEDPN3","(100889.5, 59186.25, 4448)"
"246","720575940629561923","CL002","(107519.225, 40715.1925, 3594)"
"247","720575940635674601",NA,NA
"248","720575940618369812",NA,NA
"249","720575940619849204",NA,NA
"250","720575940613478336",NA,NA
"251","720575940623970110",NA,NA
"252","720575940615042845",NA,NA
"253","720575940621986795",NA,NA
"254","720575940608777170",NA,NA
"255","720575940620729037","PLP094","(109274.36, 40898.3875, 3773)"
"256","720575940615650561","SMP496","(108353.4, 33652.475, 3888)"
"257","720575940637252174",NA,NA
"258","720575940635575268",NA,NA
"259","720575940613943739",NA,NA
"260","720575940630825299",NA,NA
"261","720575940624659545",NA,NA
"262","720575940620344534",NA,NA
"263","720575940626407153",NA,NA
"264","720575940609911409","VM3_adPN","(107448.445, 32614.2775, 4685)"
"265","720575940644821889",NA,NA
"266","720575940603800678",NA,NA
"267","720575940635533278",NA,NA
"268","720575940626559531",NA,NA
"269","720575940635893749",NA,NA
"270","720575940615796564",NA,NA
"271","720575940628913504",NA,NA
"272","720575940625109629",NA,NA
"273","720575940625021065",NA,NA
"274","720575940632525920","AVLP494","(107588.86, 52608.0075, 3094)"
"275","720575940619084909",NA,NA
"276","720575940628657605",NA,NA
"277","720575940622628903",NA,NA
"278","720575940618834086","VM3_adPN","(122684.6175, 61482.325, 1441)"
"279","720575940608018756",NA,NA
"280","720575940625077790",NA,NA
"281","720575940603114156",NA,NA
"282","720575940653210241",NA,NA
"283","720575940615711489",NA,NA
"284","720575940621094378","DM6_adPN","(122909.835, 55771.5675, 1223)"
